seed,method,condition,alpha,classifier,auc_roc,f1_minority,avg_precision
7,SMOTE,augmented,0.3,RF,0.56436712933174,0.024390243902439,0.0139341851665175
7,SMOTE,augmented,0.3,MLP,0.6651001930324478,0.0118343195266272,0.0168870491156582
7,SMOTE,augmented,0.5,GBC,0.6121311701443147,0.0137931034482758,0.0153472915829385
7,SMOTE,augmented,0.5,LR,0.601973986579649,0.04,0.0164547033508976
7,SMOTE,augmented,0.5,RF,0.5216931703281551,0.0204081632653061,0.0156013896472942
7,SMOTE,augmented,0.5,MLP,0.6360993657505285,0.018018018018018,0.0155233247564027
7,SMOTE,augmented,1.0,GBC,0.6127746116370991,0.0251046025104602,0.015228471609481
7,SMOTE,augmented,1.0,LR,0.614176394889236,0.0320855614973262,0.0169848939353545
7,SMOTE,augmented,1.0,RF,0.5312988326132917,0.0198019801980198,0.0125148877921779
7,SMOTE,augmented,1.0,MLP,0.6266086037319607,0.0246153846153846,0.0197149436109505
2024,Baseline,real_only,0.0,GBC,0.4503277861825517,0.0,0.0077800971489124
2024,Baseline,real_only,0.0,LR,0.6302393877369405,0.0,0.0127437053516312
2024,Baseline,real_only,0.0,RF,0.5244727240366647,0.0,0.0101272448583408
2024,Baseline,real_only,0.0,MLP,0.4739402568894425,0.0,0.0099358782974955
2024,GaussianCopula,augmented,0.1,GBC,0.4941413781851621,0.0,0.0085737799077705
2024,GaussianCopula,augmented,0.1,LR,0.6472071430690279,0.0,0.017937284223767
2024,GaussianCopula,augmented,0.1,RF,0.5515558719705734,0.0,0.010753765312004
2024,GaussianCopula,augmented,0.1,MLP,0.482513126279256,0.0,0.0093440872819418
2024,GaussianCopula,augmented,0.2,GBC,0.4488445907863902,0.0,0.0075547074504577
2024,GaussianCopula,augmented,0.2,LR,0.644507727448014,0.0,0.0167365417497307
2024,GaussianCopula,augmented,0.2,RF,0.5478182195722465,0.0,0.0100911113751581
2024,GaussianCopula,augmented,0.2,MLP,0.4856575005191184,0.0,0.009383759467497
2024,GaussianCopula,augmented,0.3,GBC,0.4191361870012755,0.0,0.0071256414504139
2024,GaussianCopula,augmented,0.3,LR,0.6460799145679452,0.0,0.0169893050187255
2024,GaussianCopula,augmented,0.3,RF,0.4946753285277803,0.0,0.0101259209465023
2024,GaussianCopula,augmented,0.3,MLP,0.4906707009581442,0.0,0.0094852330740837
2024,GaussianCopula,augmented,0.5,GBC,0.4380469283023345,0.0,0.0074834333292177
